C�digo;Descri��o;Quantidade;Unit�rio;Qtd x Pre�o;Qtd x Custo;Qtd x C. M�dio;
194;COIFA DRITTA INOX PAREDE 90CM 110V      ;0.000;800.000;0.000;0.000;0.000;
195;COIFA DRITTA ISLA INOX 90CM 110V-220V      ;0.000;4.140.900;0.000;0.000;0.000;
196;COOKTOP TRAMONTINA GLASS 4GG TRI-70      ;1.000;1.050.000;1.050.000;753.790;816.870;
202;COIFA VETRO WALL FLAT INOX/ VIDRO PAREDE 90CM 110V      ;0.000;2.420.000;0.000;0.000;0.000;
243;COOKTOP GLASS 31X51 2Q TC G�S      ;0.000;770.410;0.000;0.000;0.000;
244;COOKTOP GLASS BRASIL 5GG 70      ;0.000;792.000;0.000;0.000;0.000;
245;COOKTOP PENTA 5 GX TRI      ;0.000;1.700.000;0.000;0.000;0.000;
246;COOKTOP VITROCER SQUARE 4EV 60 SLIM      ;0.000;2.000.000;0.000;0.000;0.000;
247;COOKTOP VITROCERAMICO 30 1QTC      ;0.000;1.027.000;0.000;0.000;0.000;
352;FORNO ELET. COZ. GLASS COOK 60F5      ;0.000;1.960.000;0.000;0.000;0.000;
427;LIXEIRA P/ GRANITO 8 L      ;5.000;295.000;1.475.000;1.155.667;967.000;
428;LIXEIRA P/ GRANITO 8L      ;0.000;221.000;0.000;0.000;0.000;
1036;COIFA INOX VETRO BLACK TOUCH60-127V      ;0.000;1.123.000;0.000;0.000;0.000;
1037;COIFA INOX VETRO BLACK TOUCH60-220V      ;0.000;1.123.000;0.000;0.000;0.000;
1038;COIFA VIDRO VETRO BLAC.TOUCH90-127V      ;0.000;1.160.000;0.000;0.000;0.000;
1369;COOKITOP SQUARE TOUCH 4EV 60CM      ;0.000;1.999.000;0.000;0.000;0.000;
866;COIFA NEW VETRO-PAREDE 80CM 127V      ;0.000;2.176.476;0.000;0.000;0.000;
875;COIFA INOX/ VETRO WALL FLAT 90      ;0.000;1.200.000;0.000;0.000;0.000;
885;COIFA VETRO ISLA FLAT 90 INOX 110V      ;0.000;1.852.000;0.000;0.000;0.000;
1383;COOKTOP GLASS BRASIL 4GG 55      ;0.000;551.580;0.000;0.000;0.000;
906;COOKTOP A�O INOX 30X50 1Q TC G�S      ;0.000;470.000;0.000;0.000;0.000;
912;COOKTOP TRAMONTINA INOX PENTA 5GX TRI 70HE SAFESTO      ;0.000;2.635.000;0.000;0.000;0.000;
913;COOKTOP INOX DOMIN� 1GX TRI 30      ;0.000;410.000;0.000;0.000;0.000;
914;COOKTOP TRAMONTINA GLASS 4GG TRI-70CM      ;0.000;1.050.000;0.000;0.000;0.000;
916;COOKTOP PENTA 5GG TRI 70CM      ;0.000;1.002.000;0.000;0.000;0.000;
918;COOKTOP VIDRO DOMIN� 1GX TRI 30      ;1.000;1.050.000;1.050.000;593.400;551.860;
1020;COIFA VIDRO VETRO BLAC TOUCH 90-127V      ;0.000;1.336.410;0.000;0.000;0.000;
1021;COIFA INOX DRITTA BLAC TOUCH 90-127V      ;0.000;1.227.510;0.000;0.000;0.000;
1023;COOKTOP INOX PENTA PLUS 90HE SAFES      ;0.000;2.397.380;0.000;0.000;0.000;
1033;FORNO ELET.COZ.ACO INOX COOK 60 F5      ;0.000;1.990.830;0.000;0.000;0.000;
1087;COOKTOP GLASS TRAPEZIO 4GG TRI 70      ;0.000;920.000;0.000;0.000;0.000;
1088;COOKTOP GLASS 31x51 1Q TC g�s      ;0.000;650.000;0.000;0.000;0.000;
1134;COOKTOP GLASS PRETO PENTA 5GG      ;0.000;1.203.000;0.000;0.000;0.000;
1135;COOKTOP GLASS DOMINO 2GG 30      ;0.000;523.000;0.000;0.000;0.000;
1171;COIFA ACO INOX+VIDRO VETRO 90 -127V      ;0.000;1.405.900;0.000;0.000;0.000;
1194;COOKTOP INOX PENTA 5GX 70 HE SAFEST      ;0.000;2.513.200;0.000;0.000;0.000;
1199;COOKTOP PORTATIL INDUCAO 110V      ;0.000;625.000;0.000;0.000;0.000;
1200;COOKTOP PORTATIL INDUCAO 220V      ;0.000;530.000;0.000;0.000;0.000;
1230;FORNO ELET.COZ.GLASS CHEFF 60 F10      ;0.000;2.739.000;0.000;0.000;0.000;
1252;FORNO ELETR. COZ. INOX MIRROR 60 F6      ;0.000;2.595.000;0.000;0.000;0.000;
1576;COIFA NEW VETRO - PAREDE 90CM 110V      ;0.000;1.600.000;0.000;0.000;0.000;
2598;COIFA NEW DRITTA INOX 90CM 220V      ;0.000;2.550.000;0.000;0.000;0.000;
2599;COIFA INOX NEW DRITTA 60CM 127V      ;1.000;1.576.000;1.576.000;1.788.240;1.788.240;
2654;COOKTOP GAS INOX NEW PENTA 5GX TRI SAFESTOP 75      ;0.000;2.002.000;0.000;0.000;0.000;
2682;COIFA INOX NEW DRITTA 90CM 127V      ;0.000;2.752.556;0.000;0.000;0.000;
2683;COIFA INOX NEW VETRO 90CM 127V      ;1.000;2.219.364;2.219.364;1.849.470;1.849.470;
2703;COOKTOP GAS INOX PENTA PLUS 5GX TRI SAFESTOP 90      ;0.000;1.472.000;0.000;0.000;0.000;
2704;COOKTOP PENTA PLUS 5GXTRI SS 90      ;2.000;3.068.772;6.137.544;5.114.620;5.004.794;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
